ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
C81.3,Lymphocyte depleted Hodgkin lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C81.30,Lymphocyte depleted Hodgkin lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C81.31,"Lymphocyte depleted Hodgkin lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C81.32,Lymphocyte depleted Hodgkin lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.33,Lymphocyte depleted Hodgkin lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.34,Lymphocyte depleted Hodgkin lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.35,Lymphocyte depleted Hodgkin lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.36,Lymphocyte depleted Hodgkin lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.37,Lymphocyte depleted Hodgkin lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C81.38,Lymphocyte depleted Hodgkin lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.39,Lymphocyte depleted Hodgkin lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.3A,"Lymphocyte depleted Hodgkin lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C81.4,Lymphocyte-rich Hodgkin lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C81.40,Lymphocyte-rich Hodgkin lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C81.41,"Lymphocyte-rich Hodgkin lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C81.42,Lymphocyte-rich Hodgkin lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.43,Lymphocyte-rich Hodgkin lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.44,Lymphocyte-rich Hodgkin lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.45,Lymphocyte-rich Hodgkin lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.46,Lymphocyte-rich Hodgkin lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.47,Lymphocyte-rich Hodgkin lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C81.48,Lymphocyte-rich Hodgkin lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.49,Lymphocyte-rich Hodgkin lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.4A,"Lymphocyte-rich Hodgkin lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C81.7,Other Hodgkin lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C81.70,Other Hodgkin lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C81.71,"Other Hodgkin lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C81.72,Other Hodgkin lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.73,Other Hodgkin lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.74,Other Hodgkin lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.75,Other Hodgkin lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C81.76,Other Hodgkin lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C81.77,Other Hodgkin lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C81.78,Other Hodgkin lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.79,Other Hodgkin lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C81.7A,"Other Hodgkin lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C81.9,"Hodgkin lymphoma, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C81.90,"Hodgkin lymphoma, unspecified, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C81.91,"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C81.92,"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C81.93,"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C81.94,"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C81.95,"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C81.96,"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C81.97,"Hodgkin lymphoma, unspecified, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C81.98,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C81.99,"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C81.9A,"Hodgkin lymphoma, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C82,Follicular lymphoma,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C82.0,Follicular lymphoma grade I,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.00,Follicular lymphoma grade I unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C82.01,"Follicular lymphoma grade I lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.02,Follicular lymphoma grade I intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.03,Follicular lymphoma grade I intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.04,Follicular lymphoma grade I lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.05,Follicular lymphoma grade I lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.06,Follicular lymphoma grade I intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.07,Follicular lymphoma grade I spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C82.08,Follicular lymphoma grade I lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.09,Follicular lymphoma grade I extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.0A,"Follicular lymphoma grade I, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C82.1,Follicular lymphoma grade II,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.10,Follicular lymphoma grade II unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C82.11,"Follicular lymphoma grade II lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.12,Follicular lymphoma grade II intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.13,Follicular lymphoma grade II intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.14,Follicular lymphoma grade II lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.15,Follicular lymphoma grade II lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.16,Follicular lymphoma grade II intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.17,Follicular lymphoma grade II spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C82.18,Follicular lymphoma grade II lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.19,Follicular lymphoma grade II extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.1A,"Follicular lymphoma grade II, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C82.2,"Follicular lymphoma grade III, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.20,"Follicular lymphoma grade III, unspecified, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C82.21,"Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.22,"Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C82.23,"Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C82.24,"Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C82.25,"Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C82.26,"Follicular lymphoma grade III, unspecified, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C82.27,"Follicular lymphoma grade III, unspecified, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C82.28,"Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C82.29,"Follicular lymphoma grade III, unspecified, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C82.2A,"Follicular lymphoma grade III, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C82.3,Follicular lymphoma grade IIIa,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.30,Follicular lymphoma grade IIIa unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C82.31,"Follicular lymphoma grade IIIa lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.32,Follicular lymphoma grade IIIa intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.33,Follicular lymphoma grade IIIa intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.34,Follicular lymphoma grade IIIa lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.35,Follicular lymphoma grade IIIa lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.36,Follicular lymphoma grade IIIa intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.37,Follicular lymphoma grade IIIa spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C82.38,Follicular lymphoma grade IIIa lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.39,Follicular lymphoma grade IIIa extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.3A,"Follicular lymphoma grade IIIa, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C82.4,Follicular lymphoma grade IIIb,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.40,Follicular lymphoma grade IIIb unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C82.41,"Follicular lymphoma grade IIIb lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.42,Follicular lymphoma grade IIIb intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.43,Follicular lymphoma grade IIIb intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.44,Follicular lymphoma grade IIIb lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.45,Follicular lymphoma grade IIIb lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.46,Follicular lymphoma grade IIIb intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.47,Follicular lymphoma grade IIIb spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C82.48,Follicular lymphoma grade IIIb lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.49,Follicular lymphoma grade IIIb extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.4A,"Follicular lymphoma grade IIIb, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C82.5,Diffuse follicle center lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.50,Diffuse follicle center lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C82.51,"Diffuse follicle center lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.52,Diffuse follicle center lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.53,Diffuse follicle center lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.54,Diffuse follicle center lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.55,Diffuse follicle center lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.56,Diffuse follicle center lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.57,Diffuse follicle center lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C82.58,Diffuse follicle center lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.59,Diffuse follicle center lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.5A,"Diffuse follicle center lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C82.6,Cutaneous follicle center lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.60,Cutaneous follicle center lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C82.61,"Cutaneous follicle center lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.62,Cutaneous follicle center lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.63,Cutaneous follicle center lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.64,Cutaneous follicle center lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.65,Cutaneous follicle center lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.66,Cutaneous follicle center lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.67,Cutaneous follicle center lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C82.68,Cutaneous follicle center lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.69,Cutaneous follicle center lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.6A,Cutaneous follicle center lymphoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C82.8,Other types of follicular lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.80,Other types of follicular lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C82.81,"Other types of follicular lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.82,Other types of follicular lymphoma intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.83,Other types of follicular lymphoma intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.84,Other types of follicular lymphoma lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.85,Other types of follicular lymphoma lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C82.86,Other types of follicular lymphoma intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C82.87,Other types of follicular lymphoma spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C82.88,Other types of follicular lymphoma lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.89,Other types of follicular lymphoma extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C82.8A,Other types of follicular lymphoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C82.9,"Follicular lymphoma, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C82.90,"Follicular lymphoma, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C82.91,"Follicular lymphoma, unspecified lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C82.92,"Follicular lymphoma, unspecified intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C82.93,"Follicular lymphoma, unspecified intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C82.94,"Follicular lymphoma, unspecified lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C82.95,"Follicular lymphoma, unspecified lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C82.96,"Follicular lymphoma, unspecified intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C82.97,"Follicular lymphoma, unspecified spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C82.98,"Follicular lymphoma, unspecified lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C82.99,"Follicular lymphoma, unspecified extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C82.9A,"Follicular lymphoma, unspecified in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C83,Non-follicular lymphoma,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C83.0,Small cell B-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C83.00,Small cell B-cell lymphoma unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C83.01,"Small cell B-cell lymphoma lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
